站名,站点号,年,月,日,时,气温(℃),最高气温(℃),最低气温(℃),相对湿度(%),气压(hPa),3小时降水(mm),平均风速(m/s),平均风向(°),能见度(km)
酒泉,52323,2025,11,26,0,-7.9000,-7.0000,-7.9000,65,835.7000,0.0000,8.1000,178,30.0
酒泉,52323,2025,11,26,3,-2.9000,-2.9000,-6.4000,42,837.3000,0.0000,10.7000,205,30.0
酒泉,52323,2025,11,26,6,2.8000,2.9000,1.8000,35,834.3000,0.0000,16.5000,216,14.6
酒泉,52323,2025,11,26,9,3.9000,4.4000,3.9000,27,832.3000,0.0000,18.3000,215,13.3
酒泉,52323,2025,11,26,12,0.7000,1.3000,0.6000,37,831.4000,0.0000,13.1000,212,29.0
酒泉,52323,2025,11,26,15,0.6000,0.9000,0.3000,34,829.2000,0.0000,13.7000,217,30.0
酒泉,52323,2025,11,26,18,-1.3000,-0.7000,-1.3000,36,827.6000,0.0000,15.1000,208,30.0
酒泉,52323,2025,11,26,21,-1.2000,-1.1000,-1.7000,33,825.9000,0.0000,12.4000,211,30.0
酒泉,52323,2025,11,27,0,0.4000,0.4000,-0.2000,27,824.1000,0.0000,8.4000,214,30.0
酒泉,52323,2025,11,27,3,5.4000,5.4000,2.9000,17,823.4000,0.0000,13.3000,219,9.4
酒泉,52323,2025,11,27,6,7.6000,7.9000,7.4000,12,821.1000,0.0000,21.1000,216,1.4
酒泉,52323,2025,11,27,9,6.8000,7.9000,6.8000,14,821.3000,0.0000,14.0000,222,19.3
酒泉,52323,2025,11,27,12,2.5000,3.6000,2.5000,26,822.3000,0.0000,12.6000,215,26.7
酒泉,52323,2025,11,27,15,1.0000,1.3000,0.9000,26,822.0000,0.0000,14.4000,219,30.0
酒泉,52323,2025,11,27,18,-0.5000,-0.3000,-0.7000,23,821.5000,0.0000,11.8000,217,30.0
酒泉,52323,2025,11,27,21,-0.7000,-0.1000,-1.1000,20,821.1000,0.0000,13.0000,208,29.1
酒泉,52323,2025,11,28,0,-2.3000,-1.7000,-2.3000,25,821.6000,0.0000,2.8000,229,30.0
酒泉,52323,2025,11,28,3,1.1000,1.1000,-1.1000,21,822.1000,0.0000,10.1000,220,27.0
酒泉,52323,2025,11,28,6,5.9000,5.9000,4.6000,15,821.4000,0.0000,13.9000,210,28.6
酒泉,52323,2025,11,28,9,4.2000,5.5000,4.2000,20,822.0000,0.0000,9.0000,222,30.0
酒泉,52323,2025,11,28,12,-0.3000,1.3000,-0.3000,30,823.0000,0.0000,6.9000,205,30.0
酒泉,52323,2025,11,28,15,-1.2000,-0.8000,-1.5000,29,823.1000,0.0000,4.1000,238,30.0
酒泉,52323,2025,11,28,18,-3.0000,-1.7000,-3.0000,34,822.3000,0.0000,3.1000,244,30.0
酒泉,52323,2025,11,28,21,-5.3000,-4.3000,-5.3000,39,821.4000,0.0000,5.4000,210,30.0
酒泉,52323,2025,11,29,0,-5.5000,-5.4000,-7.5000,40,821.0000,0.0000,4.3000,235,30.0
酒泉,52323,2025,11,29,3,-0.3000,-0.3000,-5.1000,29,821.2000,0.0000,8.0000,211,30.0
酒泉,52323,2025,11,29,6,-2.9000,-1.8000,-2.9000,55,822.3000,0.0000,8.2000,290,30.0
酒泉,52323,2025,11,29,9,-5.5000,-4.0000,-5.5000,49,824.7000,0.0000,9.2000,255,30.0
酒泉,52323,2025,11,29,12,-9.4000,-8.9000,-9.4000,59,826.8000,0.0000,5.7000,269,27.9
酒泉,52323,2025,11,29,15,-11.3000,-10.9000,-11.3000,68,828.3000,0.0000,4.9000,271,30.0
酒泉,52323,2025,11,29,18,-13.3000,-12.5000,-13.3000,61,828.4000,0.0000,1.6000,235,30.0
酒泉,52323,2025,11,29,21,-16.3000,-15.3000,-16.3000,66,827.3000,0.0000,2.3000,152,30.0
酒泉,52323,2025,11,30,0,-18.0000,-17.5000,-18.0000,65,826.6000,0.0000,2.6000,233,30.0
